timestamp,cpu_percent,memory_percent,memory_available,disk_usage_percent,network_connections,process_count
2025-08-06T22:55:20.046306,100.0,90.1,1190932480,30.3,44,399
2025-08-06T23:05:44.804209,100.0,91.3,1047646208,30.3,39,365
2025-08-07T00:41:01.093196,100.0,66.1,4094275584,30.4,51,378
2025-08-07T15:30:55.099636,100.0,85.1,1794850816,29.6,27,366
2025-08-07T15:55:02.571339,100.0,78.7,2574147584,29.6,26,362
2025-08-07T16:04:39.835694,62.3,37.5,7546613760,29.6,34,355
2025-08-07T16:11:12.107911,49.1,60.4,4779696128,29.7,26,356
2025-08-07T16:11:15.683940,49.7,60.8,4736577536,29.7,26,358
2025-08-07T16:21:16.702256,49.1,67.8,3891761152,29.7,25,354
2025-08-07T16:53:46.721135,98.5,57.1,5178920960,30.0,33,358
2025-08-07T17:04:26.571886,100.0,71.3,3470770176,30.0,28,360
2025-08-07T17:09:56.775126,100.0,75.4,2966773760,30.0,31,357
2025-08-07T17:16:23.926215,100.0,83.9,1942421504,30.1,26,423
2025-08-07T17:27:44.932536,100.0,50.9,5926297600,30.1,25,391
2025-08-07T22:09:30.374015,98.6,52.4,5755797504,30.2,14,353
2025-08-07T22:25:38.838293,100.0,69.0,3746508800,30.2,16,362
2025-08-07T22:28:13.812448,100.0,70.6,3557687296,30.2,22,400
2025-08-07T22:57:45.661898,100.0,77.2,2750230528,30.3,25,351
2025-08-10T16:37:15.742719,36.2,60.0,4827824128,31.5,39,363
2025-08-12T22:35:06.305696,52.9,64.4,4303753216,31.7,15,422
2025-08-13T00:12:34.089894,94.7,72.3,3345371136,32.6,27,390
2025-08-13T02:05:53.483053,4.7,27.1,8811343872,32.8,19,340
2025-08-13T02:06:06.118285,19.5,27.6,8752148480,32.8,18,340
2025-08-13T02:09:13.521453,9.3,26.3,8899194880,32.8,18,339
2025-08-13T02:09:25.838265,4.5,26.7,8856096768,32.8,18,340
